Victini;494;4,0kg;0,4m;Psiquico-Fuego;Tinovictoria
Snivy;495;8,1kg;0,6m;Planta;Espesura
Servine;496;16,0kg;0,8m;Planta;Espesura
Serperior;497;63,0kg;3,3m;Planta;Espesura
Tepig;498;9,9kg;0,5m;Fuego;Mar-Llamas
Pignite;499;55,5kg;1,0m;Fuego-Lucha;Mar-Llamas
Emboar;500;150,0kg;1,6m;Fuego-Lucha;Mar-Llamas
Oshawott;501;5,9kg;0,5m;Agua;Torrente
Dewott;502;24,5kg;0,8m;Agua;Torrente
Samurott;503;94,6kg;1,5m;Agua;Torrente
Patrat;504;11,6kg;0,5m;Normal;Agarrón_Amortiguador_Agarre_Adaptación
Watchog;505;27,0kg;1,1m;Normal;Iluminacion
Lillipup;506;4,1kg;0,4m;Normal;Espiritu-Vital
Herdier;507;14,7kg;0,9m;Normal;Intimidacion
Stoutland;508;61,0kg;1,2m;Normal;Intimidacion
Purrloin;509;10,1kg;0,4m;Siniestro;Bromista
Liepard;510;37,5kg;1,1m;Siniestro;Bromista
Pansage;511;10,5kg;0,6m;Planta;Gula
Simisage;512;30,5kg;1,1m;Planta;Gula
Pansear;513;11,0kg;0,6m;Fuego;Gula
Simisear;514;28,0kg;1,0m;Fuego;Gula
Panpour;515;13,5kg;0,6m;Agua;Gula
Simipour;516;29,0kg;1,0m;Agua;Gula
Munna;517;23,3kg;0,6m;Psiquico;Alerta
Musharna;518;60,5kg;1,1m;Psiquico;Alerta
Pidove;519;2,1kg;0,3m;Normal-Volador;Sacapecho
Tranquill;520;15,0kg;0,6m;Normal-Volador;Sacapecho
Unfezant;521;29,0kg;1,2m;Normal-Volador;Sacapecho
Blitzle;522;29,8kg;0,8m;Electrico;Pararrayos
Zebstrika;523;79,5kg;1,6m;Electrico;Pararrayos
Roggenrola;524;18,0kg;0,4m;Roca;Robustez
Boldore;525;102,0kg;0,9m;Roca;Robustez
Gigalith;526;260,0kg;1,7m;Roca;Robustez
Woobat;527;2,1kg;0,4m;Psiquico-Volador;Ignorante
Swoobat;528;10,5kg;0,9m;Psiquico-Volador;Ignorante
Drilbur;529;8,5kg;0,3m;Tierra;Impetu-Arena
Excadrill;530;40,4kg;0,7m;Tierra-Acero;Impetu-Arena
Audino;531;31,0kg;1,1m;Normal;Regeneracion
Timburr;532;12,5kg;0,6m;Lucha;Agallas
Gurdurr;533;40,0kg;1,2m;Lucha;Agallas
Conkeldurr;534;87,0kg;1,4m;Lucha;Agallas
Tympole;535;4,5kg;0,5m;Agua;Nado-Rapido
Palpitoad;536;17,0kg;0,8m;Agua-Tierra;Nado-Rapido
Seismitoad;537;62,0kg;1,5m;Agua-Tierra;Nado-Rapido
Throh;538;55,5kg;1,3m;Lucha;Agallas
Sawk;539;51,0kg;1,4m;Lucha;Robustez
